24 -> 8 fr=349 (0.6221), cf=1.000, gamma=1.166, delta=0.089, M=-8.916e+01
4 20 -> 39 fr=29 (0.0517), cf=0.853, gamma=14.074, delta=0.048, M=-8.654e+01
4 20 -> 37 fr=29 (0.0517), cf=0.853, gamma=14.074, delta=0.048, M=-8.654e+01
40 -> 39 fr=26 (0.0463), cf=1.000, gamma=16.500, delta=0.044, M=-8.601e+01
40 -> 37 fr=26 (0.0463), cf=1.000, gamma=16.500, delta=0.044, M=-8.601e+01
10 16 17 -> 19 fr=52 (0.0927), cf=0.486, gamma=4.783, delta=0.073, M=-8.410e+01
16 17 -> 30 fr=46 (0.0820), cf=0.414, gamma=5.054, delta=0.066, M=-8.358e+01
2 4 31 -> 39 fr=29 (0.0517), cf=0.806, gamma=13.292, delta=0.048, M=-8.316e+01
2 4 31 -> 37 fr=29 (0.0517), cf=0.806, gamma=13.292, delta=0.048, M=-8.316e+01
4 20 31 -> 36 fr=28 (0.0499), cf=0.903, gamma=14.075, delta=0.046, M=-8.307e+01
16 17 27 -> 31 fr=46 (0.0820), cf=0.836, gamma=5.865, delta=0.068, M=-8.221e+01
4 31 -> 39 fr=29 (0.0517), cf=0.784, gamma=12.932, delta=0.048, M=-8.164e+01
4 31 -> 37 fr=29 (0.0517), cf=0.784, gamma=12.932, delta=0.048, M=-8.164e+01
16 17 -> 19 fr=52 (0.0927), cf=0.468, gamma=4.611, delta=0.073, M=-8.157e+01
2 4 20 -> 36 fr=28 (0.0499), cf=0.875, gamma=13.635, delta=0.046, M=-8.100e+01
2 18 31 -> 39 fr=34 (0.0606), cf=0.493, gamma=8.130, delta=0.053, M=-8.014e+01
2 18 31 -> 37 fr=34 (0.0606), cf=0.493, gamma=8.130, delta=0.053, M=-8.014e+01
2 12 20 -> 39 fr=32 (0.0570), cf=0.593, gamma=9.778, delta=0.051, M=-7.955e+01
2 12 20 -> 37 fr=32 (0.0570), cf=0.593, gamma=9.778, delta=0.051, M=-7.955e+01
2 20 -> 39 fr=33 (0.0588), cf=0.532, gamma=8.782, delta=0.052, M=-7.884e+01
2 20 -> 37 fr=33 (0.0588), cf=0.532, gamma=8.782, delta=0.052, M=-7.884e+01
2 22 31 -> 39 fr=34 (0.0606), cf=0.479, gamma=7.901, delta=0.053, M=-7.882e+01
2 22 31 -> 37 fr=34 (0.0606), cf=0.479, gamma=7.901, delta=0.053, M=-7.882e+01
31 43 -> 39 fr=24 (0.0428), cf=1.000, gamma=16.500, delta=0.040, M=-7.794e+01
31 43 -> 37 fr=24 (0.0428), cf=1.000, gamma=16.500, delta=0.040, M=-7.794e+01
13 17 22 -> 19 fr=43 (0.0766), cf=0.632, gamma=6.224, delta=0.064, M=-7.759e+01
2 4 18 -> 39 fr=29 (0.0517), cf=0.725, gamma=11.962, delta=0.047, M=-7.757e+01
2 4 18 -> 37 fr=29 (0.0517), cf=0.725, gamma=11.962, delta=0.047, M=-7.757e+01
2 31 -> 39 fr=34 (0.0606), cf=0.466, gamma=7.685, delta=0.053, M=-7.755e+01
18 31 -> 39 fr=34 (0.0606), cf=0.466, gamma=7.685, delta=0.053, M=-7.755e+01
2 31 -> 37 fr=34 (0.0606), cf=0.466, gamma=7.685, delta=0.053, M=-7.755e+01
18 31 -> 37 fr=34 (0.0606), cf=0.466, gamma=7.685, delta=0.053, M=-7.755e+01
16 27 -> 31 fr=46 (0.0820), cf=0.793, gamma=5.562, delta=0.067, M=-7.747e+01
4 20 -> 36 fr=28 (0.0499), cf=0.824, gamma=12.833, delta=0.046, M=-7.741e+01
12 18 20 -> 39 fr=32 (0.0570), cf=0.561, gamma=9.263, delta=0.051, M=-7.702e+01
12 20 22 -> 39 fr=32 (0.0570), cf=0.561, gamma=9.263, delta=0.051, M=-7.702e+01
12 18 20 -> 37 fr=32 (0.0570), cf=0.561, gamma=9.263, delta=0.051, M=-7.702e+01
12 20 22 -> 37 fr=32 (0.0570), cf=0.561, gamma=9.263, delta=0.051, M=-7.702e+01
13 17 -> 19 fr=43 (0.0766), cf=0.623, gamma=6.133, delta=0.064, M=-7.664e+01
